# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
an yi 	安逸	c=1 d=1 t=76104
an yuan 	安苑	c=6 d=1.00113 t=134299
an yuan 	按原	c=1 d=1 t=38896
an yuan dong li 	安苑东里	c=3 d=1 t=128715
an yue 	按月	c=1 d=1 t=134663
an zhao 	按照	c=28 d=1 t=124161
an zhi 	按值	c=1 d=1 t=30727
an zhuang 	安裝	c=39 d=1.99005 t=117458
an zhuo 	安卓	c=26 d=1.0449 t=132712
an zhuo hao 	安卓號	c=2 d=1.22537 t=113486
an zhuo ji 	安卓机	c=1 d=1 t=108767
and 	and	c=3 d=1 t=123459
ang zang 	骯髒	c=1 d=1 t=120666
ao 	傲	c=2 d=0.100696 t=39697
ao 	澳	c=1 d=1 t=70555
ao ao dai bu 	嗷嗷待哺	c=1 d=1 t=88192
ao jiao 	傲娇	c=1 d=1 t=118953
ao ka mu 	奥卡姆	c=1 d=1 t=25884
ao kai mo 	澳凱墨	c=2 d=1.80252 t=81203
ao li fu 	奧利弗	c=1 d=1 t=115152
ao li gei 	奧利給	c=4 d=1.24561 t=132854
ao li ji 	奧裏吉	c=1 d=1 t=36475
ao sai 	奥赛	c=1 d=1 t=46189
ao shu 	嗷叔	c=15 d=1.956 t=129014
ao si man 	奧斯曼	c=1 d=1 t=89810
ao te man 	奧特曼	c=2 d=1 t=121576
ao tu 	凹凸	c=1 d=1 t=68735
ao xian 	凹陷	c=1 d=1 t=31483
ao zou 	熬走	c=1 d=1 t=79580
auto 	auto	c=1 d=1 t=3385
ba 	八	c=3 d=1.96079 t=108394
ba 	吧	c=970 d=2.09755 t=134491
ba 	把	c=185 d=1.64147 t=134222
ba 	爸	c=13 d=1.0002 t=102678
ba 	靶	c=0 d=0.1 t=41363
ba ba 	把把	c=1 d=1 t=82245
ba ba 	爸爸	c=22 d=1 t=129069
ba bang 	霸榜	c=1 d=1 t=63572
ba bi 	爸比	c=3 d=2.49513 t=84023
ba chu lai 	拔出來	c=1 d=1 t=90850
ba da 	吧嗒	c=0 d=0.1 t=103699
ba da ling 	八達嶺	c=6 d=1 t=103138
ba da zui 	吧嗒嘴	c=1 d=1 t=103700
ba dian ban 	八點半	c=3 d=1 t=125056
ba fang 	八方	c=2 d=1.99005 t=21489
ba ge 	八個	c=1 d=1.06907 t=5814
ba ge dian 	八個點	c=1 d=1 t=5741
ba gong 	罷工	c=1 d=1 t=11609
ba gua 	八卦	c=2 d=1 t=127956
ba huang hou 	八皇后	c=1 d=1 t=97118
ba jiao 	八角	c=1 d=1 t=54697
ba jie 	八戒	c=4 d=1 t=124953
ba kong 	把控	c=3 d=1 t=114481
ba le 	拔了	c=1 d=1 t=40835
ba lian 	把臉	c=0 d=0.1 t=18262
ba ma 	爸媽	c=10 d=1 t=105131
ba ni 	把你	c=2 d=1 t=87364
ba ni men 	把你們	c=1 d=1 t=37028
ba qiang 	拔槍	c=1 d=1 t=119201
ba ren 	把人	c=2 d=1 t=106104
ba sa 	巴薩	c=1 d=1 t=79566
ba shuo 	爸说	c=2 d=1.42316 t=66763
ba ta 	把他	c=2 d=1 t=122871
ba wan 	八萬	c=1 d=1 t=119549
ba wang 	霸王	c=1 d=1.08564 t=25616
ba wang se 	霸王色	c=1 d=1 t=25586
ba wei 	八尾	c=1 d=1 t=13063
ba wo 	把我	c=9 d=1 t=125865
ba wo 	把握	c=2 d=1 t=132817
ba wo hao 	把握好	c=1 d=1 t=52093
ba xi 	巴西	c=4 d=1 t=127715
ba ya 	拔牙	c=1 d=1 t=97448
ba yue 	八月	c=0 d=0.1 t=71718
ba yue di 	八月低	c=1 d=1 t=71719
ba zhan 	霸佔	c=1 d=1 t=63539
ba zhu 	吧主	c=0 d=0.1 t=61191
ba zhu 	霸主	c=1 d=1 t=95713
ba zhua yu 	八爪魚	c=1 d=1 t=127214
ba zi 	靶子	c=3 d=1 t=46861
bai 	擺	c=0 d=0.1 t=81042
bai 	敗	c=1 d=1 t=55993
bai 	白	c=5 d=1 t=133545
bai 	百	c=4 d=1 t=90298
bai bai 	拜拜	c=3 d=1 t=121980
bai bai 	白白	c=1 d=1 t=107666
bai ban 	白板	c=2 d=1.93707 t=97817
bai bei 	敗北	c=2 d=1.02816 t=97477
bai bei 	百倍	c=1 d=1 t=62464
bai cheng 	敗乘	c=1 d=1 t=68486
bai chu lai 	擺出來	c=1 d=1 t=62190
bai da 	白打	c=2 d=1 t=80691
bai da 	百達	c=1 d=1 t=81916
bai di 	白底	c=1 d=1 t=133006
bai dong 	百凍	c=1 d=1 t=90297
bai du 	百度	c=19 d=1.2739 t=126728
bai du che 	摆渡车	c=1 d=1 t=20861
bai du wang pan 	百度网盘	c=1 d=1 t=32249
bai fang 	敗放	c=1 d=1 t=50567
bai fang 	敗方	c=1 d=1 t=86112
bai fen bai 	百分百	c=1 d=1 t=95568
bai fen bi 	百分比	c=3 d=1.93707 t=41644
bai fen zhi yi 	百分之一	c=1 d=1 t=128390
bai hao 	白號	c=1 d=1 t=92884
bai hua 	白化	c=2 d=1.9802 t=5917
bai jiao 	白叫	c=1 d=1 t=104711
bai jin ka 	白金卡	c=1 d=1 t=119550
bai ju guo xi 	白駒過隙	c=2 d=1.98511 t=53233
bai kai shui 	白開水	c=1 d=1 t=79546
bai lan 	擺爛	c=1 d=1 t=28681
bai li 	百里	c=2 d=1 t=106082
bai lv 	敗率	c=1 d=1 t=120505
bai mian 	百麪	c=2 d=1.99005 t=45048
bai ming dan 	白名单	c=3 d=1 t=18130
bai nian 	百年	c=1 d=1 t=94404
bai piao 	白嫖	c=1 d=1 t=75990
bai pin 	白蘋	c=0 d=0.1 t=73400
bai pin guo 	白蘋果	c=1 d=1 t=73401
bai qi 	白起	c=30 d=1.90662 t=129528
bai se 	白色	c=1 d=1 t=42169
bai se 	百色	c=1 d=1 t=119641
bai shi 	白食	c=1 d=1 t=133531
bai song 	白送	c=1 d=1 t=18195
bai tian 	白天	c=8 d=1.96561 t=116959
bai wang 	百望	c=1 d=1 t=51147
bai xia zhen 	敗下陣	c=1 d=1 t=117515
bai xing 	百星	c=1 d=1 t=95730
bai yi 	百億	c=4 d=1 t=122973
bai yi ge 	擺一個	c=1 d=1 t=81043
bai yi hang 	百億行	c=1 d=1 t=59182
bai yin 	白銀	c=3 d=0.1 t=115517
bai zai 	擺在	c=1 d=1 t=54970
bai zai na er 	摆在那儿	c=2 d=1 t=87150
bai zi 	白字	c=1 d=1 t=71173
ban 	半	c=9 d=1 t=120028
ban 	扮	c=1 d=1 t=72191
ban 	搬	c=1 d=1 t=107100
ban 	板	c=2 d=1 t=114280
ban 	版	c=8 d=1 t=123635
ban 	班	c=3 d=1 t=128532
ban 	般	c=4 d=1 t=101558
ban 	辦	c=4 d=1 t=132425
ban ben 	半本	c=1 d=1 t=116
ban ben 	版本	c=27 d=1 t=132860
ban ben zhi zi 	版本之子	c=2 d=1 t=107225
ban chang 	半場	c=2 d=1 t=110916
ban che 	班車	c=0 d=0.1 t=114066
ban cheng 	半程	c=1 d=1 t=122157
ban chu 	搬出	c=1 d=1 t=25882
ban dao 	搬到	c=2 d=1 t=134177
ban diao zi 	半吊子	c=1 d=1 t=117927
ban dong xi 	搬东西	c=2 d=1.00002 t=34735
ban du 	伴讀	c=1 d=1 t=20437
ban fa 	辦法	c=17 d=1 t=133626
ban fen 	半分	c=1 d=1 t=94295
ban fen zhong 	半分鐘	c=2 d=1 t=44763
ban fu 	板斧	c=2 d=1.86502 t=85377
ban ge 	半個	c=4 d=1 t=125577
ban ge 	辦個	c=1 d=1 t=78458
ban ge xiao shi 	半個小時	c=4 d=1 t=126938
ban ge yue 	半個月	c=5 d=1 t=107537
ban gong shi 	辦公室	c=7 d=1 t=127720
ban hua 	班花	c=1 d=1 t=81453
ban jia 	搬家	c=1 d=1 t=74439
ban jia 	板甲	c=2 d=1 t=79370
ban ka 	辦卡	c=1 d=1 t=52054
ban lang 	伴郎	c=1 d=1 t=23084
ban li 	辦理	c=5 d=1.75578 t=62757
ban long duan 	半壟斷	c=1 d=1 t=37272
ban lv 	伴侶	c=1 d=1 t=70161
ban na 	版納	c=1 d=1 t=70832
ban nian 	半年	c=2 d=1 t=110431
ban nian nei 	半年内	c=1 d=1 t=13079
ban po 	半坡	c=1 d=1 t=91628
ban quan 	版權	c=4 d=1 t=128835
ban rou 	半肉	c=4 d=1.09512 t=52864
ban rou liu 	半肉流	c=1 d=1 t=52855
ban shang 	班上	c=1 d=1 t=83538
ban shi 	辦事	c=1 d=1 t=33457
ban tan 	半坦	c=1 d=1 t=20746
ban tang 	半糖	c=3 d=1 t=77027
ban tian 	半天	c=2 d=1.01576 t=12610
ban wan 	辦完	c=0 d=0.1 t=23465
ban wan shi er 	辦完事兒	c=1 d=1 t=23466
ban xiao shi 	半小時	c=1 d=1 t=13402
ban xue 	半血	c=5 d=1 t=112779
ban ye 	半夜	c=4 d=1 t=84097
ban yi bo 	般一波	c=1 d=1 t=33613
ban yue 	半月	c=2 d=0.1 t=69763
ban yue le 	半月了	c=1 d=1 t=69764
ban zhang 	班長	c=3 d=1 t=48552
ban zhuan 	搬砖	c=4 d=1 t=87540
ban zhuan 	板磚	c=2 d=1 t=25767
bang 	幫	c=16 d=1.41423 t=133765
bang 	梆	c=1 d=1 t=131775
bang 	棒	c=3 d=1 t=98086
bang 	榜	c=1 d=1 t=90738
bang 	磅	c=2 d=1 t=68013
bang bang 	幫幫	c=2 d=1 t=116587
bang bang 	棒棒	c=1 d=1 t=25101
bang bie ren 	帮别人	c=0 d=0.1 t=101370
bang bu le 	幫不了	c=1 d=1 t=133501
bang bu shang 	帮不上	c=1 d=1 t=104433
bang chui 	棒槌	c=2 d=1 t=115536
bang dan 	榜單	c=1 d=1 t=63547
bang ding 	綁定	c=1 d=1 t=34489
bang jia 	綁架	c=2 d=1 t=101727
bang le 	幫了	c=2 d=1 t=84307
bang mang 	幫忙	c=65 d=1.00002 t=133763
bang ni 	幫你	c=25 d=1 t=126449
bang ren 	幫人	c=1 d=1 t=38931
bang shang mang 	帮上忙	c=1 d=1 t=87157
bang ta 	幫他	c=3 d=1 t=131661
bang ta men 	帮他们	c=1 d=1 t=77899
bang wo 	幫我	c=25 d=1 t=131504
bang yang 	榜樣	c=2 d=1 t=90127
bang yi ci 	幫一次	c=1 d=1 t=128484
bang zhe 	幫着	c=1 d=1 t=19656
bang zhu 	幫助	c=15 d=1 t=113602
bang zhu li jie 	帮助理解	c=1 d=1 t=53768
bang zhu ni 	帮助你	c=1 d=1 t=123602
bang zhu xia 	帮助下	c=1 d=1 t=59815
bang zi 	棒子	c=2 d=1 t=93564
bao 	保	c=15 d=1.9802 t=132211
bao 	包	c=29 d=1 t=129933
bao 	報	c=7 d=0.1 t=121645
bao 	寶	c=2 d=1 t=106293
bao 	抱	c=3 d=1 t=108101
bao 	爆	c=5 d=1 t=119252
bao an 	保安	c=4 d=1 t=110829
bao bao 	宝宝	c=169 d=1.01471 t=129214
bao bao yu 	宝宝魚	c=3 d=1 t=29450
bao bei 	寶貝	c=8 d=1.00191 t=132005
bao bei er 	寶貝兒	c=1 d=1 t=25668
bao ben 	保本	c=1 d=1 t=63639
bao biao 	報表	c=1 d=1 t=9181
bao bu chu lai 	報不出來	c=1 d=1 t=121646
bao bu dao 	保不到	c=1 d=1 t=85688
bao bu zhun 	保不準	c=1 d=1 t=35274
bao chi 	保持	c=7 d=1 t=126771
bao chou 	報仇	c=1 d=1 t=86222
bao chui 	爆锤	c=5 d=1.956 t=119130
bao cun 	保存	c=6 d=1 t=116136
bao cuo 	報錯	c=17 d=1.83527 t=89700
bao dan 	保單	c=4 d=1 t=65152
bao dao 	報道	c=1 d=1 t=54876
bao die 	暴跌	c=2 d=1 t=82344
bao fa 	爆發	c=5 d=1 t=129236
bao fu 	包袱	c=1 d=1 t=120767
bao fu 	暴富	c=1 d=1 t=35358
bao fu she hui 	报复社会	c=1 d=1 t=121726
bao gao 	報告	c=4 d=1 t=122820
bao ge 	报个	c=2 d=1.83946 t=115654
bao guan 	保管	c=0 d=0.1 t=67873
bao guan hao 	保管好	c=1 d=1 t=67874
bao guang 	暴光	c=0 d=0.1 t=51125
bao guang liang 	暴光量	c=1 d=1 t=51126
bao guang lv 	曝光率	c=1 d=1 t=51137
bao guo 	包裹	c=3 d=2.83602 t=54736
bao han 	包含	c=4 d=1 t=45692
bao he 	飽和	c=8 d=1.97531 t=28729
bao he du 	飽和度	c=1 d=1 t=5866
bao he xing 	飽和性	c=1 d=1 t=4609
bao hong bao 	包紅包	c=1 d=1 t=33395
bao hu 	保護	c=10 d=1.97045 t=129076
bao hu wo 	保護我	c=1 d=1 t=30488
bao ji 	暴擊	c=4 d=1 t=107654
bao jia 	報價	c=1 d=1 t=78231
bao jian 	保健	c=1 d=1 t=10118
bao jian 	寶劍	c=1 d=1 t=70846
bao jiang 	包漿	c=1 d=1 t=25799
bao jiao zi 	包餃子	c=1 d=1 t=102458
bao jie 	保潔	c=2 d=1.94649 t=125137
bao jin 	抱緊	c=1 d=1 t=105243
bao jing 	報警	c=3 d=1 t=102386
bao jing gao 	報警告	c=1 d=1 t=72409
bao jun 	暴君	c=2 d=1 t=89862
bao kai 	抱開	c=1 d=1 t=75395
bao kou 	暴扣	c=3 d=1 t=92652
bao kuo 	包括	c=24 d=1 t=133439
bao la 	爆拉	c=1 d=1 t=82342
bao le 	包了	c=1 d=1 t=78431
bao le 	爆了	c=3 d=1.00002 t=21161
bao lei 	堡壘	c=1 d=1 t=71092
bao lei ji 	堡壘機	c=1 d=1 t=47897
bao li 	暴力	c=2 d=1 t=124614
bao liao 	爆料	c=2 d=1 t=26400
bao liu 	保留	c=8 d=0.1 t=125330
bao lu 	暴露	c=2 d=1 t=96347
bao mi 	保密	c=7 d=1 t=134298
bao mi xie yi 	保密协议	c=1 d=1 t=125303
bao ming 	保命	c=1 d=1 t=41792
bao ming 	報名	c=8 d=1 t=128599
bao ming fei 	報名費	c=1 d=1 t=120866
bao mu 	保姆	c=0 d=0.1 t=22658
bao mu shi 	保姆式	c=1 d=1 t=22659
bao ni 	保你	c=7 d=1 t=85701
bao ni 	抱你	c=3 d=1 t=108065
bao ni da tui 	抱你大腿	c=1 d=1 t=57201
bao qian 	抱歉	c=30 d=1.45612 t=132461
bao ren 	保人	c=1 d=1 t=119220
bao rong 	包容	c=0 d=0.1 t=70993
bao rong ni 	包容你	c=1 d=1 t=70994
bao shang 	包商	c=1 d=1 t=26651
bao shang 	報上	c=1 d=1 t=23012
bao shang lai 	報上來	c=1 d=1 t=88427
bao shi 	保釋	c=1 d=1 t=99494
bao shi 	寶石	c=4 d=1.09371 t=109156
bao shou 	保守	c=3 d=1 t=51418
bao shu 	抱樹	c=1 d=1 t=71988
bao shui 	報稅	c=1 d=1 t=60294
bao song 	保送	c=1 d=1 t=121833
bao tuan 	抱團	c=5 d=1 t=117347
bao wei 	包圍	c=1 d=1 t=96049
bao wei zhan 	保衛戰	c=1 d=1 t=49365
bao wo 	保我	c=1 d=1 t=30040
bao xian 	保險	c=7 d=1.98511 t=88695
bao xin 	報信	c=1 d=1 t=54841
bao xing xing 	保星星	c=1 d=1 t=14052
bao yang 	保養	c=0 d=0.1 t=115569
bao yang yi ge 	保養一個	c=1 d=1 t=115570
bao ye 	包夜	c=4 d=1.00025 t=124500
bao yi 	爆衣	c=0 d=0.1 t=51096
bao yi bao 	抱一抱	c=1 d=1 t=20527
bao yi ceng 	包一層	c=1 d=1 t=34064
bao yi o 	爆衣哦	c=1 d=1 t=51097
bao yin 	包銀	c=2 d=1 t=35510
bao ying 	包贏	c=1 d=1 t=48692
bao you 	保有	c=1 d=1 t=124779
bao you 	包邮	c=1 d=1 t=83570
bao yu 	暴雨	c=1 d=1 t=67616
bao zao 	暴躁	c=1 d=1 t=84015
bao zha 	爆炸	c=16 d=1 t=130998
bao zhang 	報障	c=1 d=1 t=26816
bao zhao 	鮑照	c=1 d=1 t=24759
bao zhe 	抱着	c=2 d=1.96079 t=57628
bao zhen 	抱枕	c=1 d=1 t=123510
bao zheng 	保證	c=37 d=1.01994 t=133640
bao zhu 	保住	c=3 d=1 t=107998
bao zhu 	抱住	c=1 d=1 t=94069
bao zhuang 	包裝	c=1 d=1 t=44254
batch 	batch	c=1 d=1 t=31259
bei 	倍	c=9 d=1.00783 t=126259
bei 	北	c=4 d=0.1 t=52244
bei 	唄	c=11 d=1 t=123259
bei 	盃	c=3 d=0.1 t=125963
bei 	背	c=5 d=0.1 t=130693
bei 	被	c=302 d=2.01993 t=133738
bei an 	備案	c=1 d=1 t=98098
bei bao 	背包	c=1 d=1 t=96735
bei bi 	被逼	c=1 d=1 t=103845
bei bi zhe 	被逼着	c=1 d=1 t=43787
bei bian 	北邊	c=2 d=1 t=104143
bei cai 	被裁	c=3 d=1.70117 t=32539
bei cha 	備查	c=1 d=1 t=110413
bei da 	北大	c=7 d=1 t=123360
bei diao 	背調	c=15 d=1.08291 t=132355
bei dong 	被動	c=20 d=1 t=132804
bei fen 	備份	c=7 d=1 t=133256
bei gan 	被幹	c=1 d=1 t=40145
bei gao 	被告	c=1 d=1 t=33460
bei guo 	背锅	c=4 d=1 t=129463
bei hai 	被害	c=1 d=1 t=133716
bei hang 	北航	c=1 d=1 t=100216
bei hao le 	备好了	c=2 d=1 t=123889
bei hou 	背後	c=7 d=1.10228 t=56686
bei jing 	北京	c=95 d=1.52223 t=134825
bei jing 	背景	c=9 d=1.54607 t=134694
bei jing bei zhan 	北京北站	c=1 d=1 t=52461
bei jing da xue 	北京大學	c=1 d=1 t=97578
bei jing shi 	北京市	c=4 d=1 t=128713
bei ju bao 	被举报	c=1 d=1 t=23073
bei kai 	被开	c=1 d=1 t=133476
bei kao 	背靠	c=1 d=1 t=11651
bei ke 	貝殼	c=1 d=1 t=134737
bei ke han mu 	貝克漢姆	c=2 d=1.90937 t=110907
bei keng 	被坑	c=1 d=1 t=6204
bei le 	背了	c=1 d=1 t=131708
bei ni 	被你	c=3 d=1 t=133815
bei pan 	背叛	c=0 d=0.1 t=74373
bei pan le 	背叛了	c=1 d=1 t=74374
bei qing 	被清	c=1 d=1 t=60498
bei ren 	被人	c=8 d=1 t=112697
bei ren wei 	被认为	c=2 d=1 t=104793
bei san huan 	北三環	c=1 d=1 t=52245
bei shang guang 	北上廣	c=1 d=1 t=54948
bei shao 	被燒	c=2 d=1.98511 t=4923
bei shen 	背身	c=1 d=1 t=90867
bei shu 	倍數	c=1 d=1 t=119950
bei shu 	背書	c=1 d=1 t=29151
bei song 	背誦	c=3 d=1 t=39248
bei su 	倍速	c=1 d=1 t=119953
bei suo 	被鎖	c=2 d=1.74826 t=98439
bei ta 	被他	c=1 d=1 t=30375
bei tai 	備胎	c=1 d=1 t=101572
bei ti 	被踢	c=1 d=1 t=57239
bei tou 	背頭	c=0 d=0.1 t=25073
bei wei 	卑微	c=3 d=1 t=116456
bei wei zai 	卑微仔	c=4 d=1 t=117862
bei wo 	被我	c=27 d=1.00055 t=134261
bei xin qiao 	北新桥	c=1 d=1 t=76100
bei xu yao 	被需要	c=1 d=1 t=124677
bei xuan 	備選	c=2 d=1 t=118411
bei ye 	贝爷	c=4 d=1 t=100317
bei ye si 	贝叶斯	c=7 d=1 t=123096
bei yi xia 	背一下	c=1 d=1 t=130694
bei yin 	被引	c=1 d=1 t=24754
bei yong 	備用	c=2 d=1 t=99269
bei you 	北郵	c=0 d=0.1 t=6243
bei you ren 	北郵人	c=2 d=1.96561 t=6251
bei yu wei 	被譽爲	c=1 d=1 t=25266
bei zhan 	備戰	c=1 d=1 t=80895
bei zhan 	北站	c=0 d=0.1 t=52460
bei zhi xing ren 	被執行人	c=1 d=1 t=45216
bei zhu 	備註	c=2 d=1 t=59498
bei zhua 	被抓	c=3 d=1 t=101450
bei zhuang 	被撞	c=1 d=1 t=47110
bei zi 	杯子	c=1 d=1 t=90140
bei zi 	被子	c=1 d=1 t=94590
bei zi ji 	被自己	c=1 d=1 t=122121
ben 	本	c=2 d=1 t=91616
ben 	笨	c=1 d=1 t=79283
ben ben 	笨笨	c=1 d=1 t=46212
ben bu 	本部	c=0 d=0.1 t=16760
ben bu zhang 	本部長	c=1 d=1 t=16761
ben dan 	笨蛋	c=1 d=1 t=19103
ben di 	本地	c=21 d=1.0388 t=127411
ben di ren 	本地人	c=1 d=1 t=75605
ben di sheng huo 	本地生活	c=5 d=1.0049 t=128268
ben ji 	本機	c=1 d=1 t=47776
ben ju 	本局	c=2 d=1 t=134361
ben ke 	本科	c=10 d=1.59452 t=134672
ben ke sheng 	本科生	c=4 d=1 t=20874
ben lai 	本來	c=36 d=1 t=128341
ben ming 	本名	c=1 d=1 t=70755
ben pao 	奔跑	c=1 d=1 t=13756
ben qi 	本期	c=2 d=1 t=55437
ben qun 	本群	c=34 d=1.46627 t=130470
ben ren 	本人	c=10 d=1.93707 t=33895
ben sai ji 	本賽季	c=1 d=1 t=21629
ben shen 	本身	c=10 d=1 t=107511
ben shi 	本事	c=1 d=1 t=119006
ben shuo 	本碩	c=4 d=1 t=134603
ben tian 	本田	c=0 d=0.1 t=2583
ben tian gui you 	本田圭佑	c=1 d=1 t=2584
ben xi 	本溪	c=1 d=1 t=91591
ben yue 	本月	c=1 d=1 t=50239
ben zhe 	本着	c=1 d=1 t=130312
ben zhi 	本質	c=1 d=1 t=24249
ben zhi shang 	本質上	c=4 d=1 t=44098
ben zhou 	本週	c=6 d=1 t=99442
beng 	崩	c=15 d=1.00023 t=118392
beng bu beng 	崩不崩	c=1 d=1 t=73782
beng di 	蹦迪	c=2 d=1 t=36382
beng la 	崩啦	c=0 d=0.1 t=39697
beng la ao 	崩啦傲	c=1 d=1 t=39698
beng le 	崩了	c=6 d=1 t=101680
beng ta 	崩塌	c=1 d=1 t=116049
bi 	幣	c=11 d=1.83012 t=109133
bi 	比	c=81 d=1 t=134272
bi 	碧	c=1 d=1 t=91178
bi 	筆	c=2 d=1 t=129898
bi 	逼	c=6 d=1 t=132786
bi 	避	c=1 d=1 t=127084
bi bi 	币币	c=1 d=1 t=99895
bi bi 	筆筆	c=0 d=0.1 t=6155
bi bu ke shao 	必不可少	c=2 d=1 t=84213
bi bu liao 	比不了	c=1 d=1 t=63922
bi bu shang 	比不上	c=1 d=1 t=54412
bi ci 	彼此	c=1 d=1 t=14854
bi diao 	比雕	c=1 d=1 t=18375
bi die 	比爹	c=1 d=1 t=127372
bi dong 	壁咚	c=1 d=1 t=112649
bi er 	比爾	c=0 d=0.1 t=78513
bi er bu tan 	避而不談	c=1 d=1 t=126864
bi er ne 	比爾呢	c=1 d=1 t=78514
bi gai 	必改	c=1 d=1 t=57283
bi ge 	比個	c=1 d=1 t=52961
bi huan 	閉環	c=2 d=1.8781 t=120466
bi ji 	筆記	c=5 d=1 t=111079
bi ji ni 	比基尼	c=1 d=1 t=14633
